REF_DATE,Age group,VALUE
1976,25 to 34 years,53500.0
1976,35 to 44 years,62100.0
1976,45 to 54 years,56800.0
1976,55 to 64 years,49500.0
1977,25 to 34 years,52000.0
1977,35 to 44 years,57500.0
1977,45 to 54 years,57500.0
1977,55 to 64 years,51000.0
1978,25 to 34 years,51400.0
1978,35 to 44 years,58900.0
1978,45 to 54 years,57500.0
1978,55 to 64 years,50500.0
1979,25 to 34 years,51300.0
1979,35 to 44 years,56300.0
1979,45 to 54 years,56100.0
1979,55 to 64 years,51500.0
1980,25 to 34 years,51200.0
1980,35 to 44 years,57000.0
1980,45 to 54 years,56000.0
1980,55 to 64 years,50200.0
1981,25 to 34 years,49100.0
1981,35 to 44 years,56500.0
1981,45 to 54 years,52800.0
1981,55 to 64 years,49500.0
1982,25 to 34 years,45700.0
1982,35 to 44 years,53000.0
1982,45 to 54 years,52100.0
1982,55 to 64 years,46500.0
1983,25 to 34 years,45300.0
1983,35 to 44 years,53700.0
1983,45 to 54 years,51800.0
1983,55 to 64 years,47600.0
1984,25 to 34 years,45100.0
1984,35 to 44 years,53100.0
1984,45 to 54 years,50400.0
1984,55 to 64 years,47400.0
1985,25 to 34 years,44500.0
1985,35 to 44 years,53600.0
1985,45 to 54 years,51100.0
1985,55 to 64 years,46200.0
1986,25 to 34 years,44900.0
1986,35 to 44 years,54000.0
1986,45 to 54 years,54600.0
1986,55 to 64 years,46600.0
1987,25 to 34 years,44600.0
1987,35 to 44 years,54200.0
1987,45 to 54 years,55400.0
1987,55 to 64 years,47000.0
1988,25 to 34 years,45200.0
1988,35 to 44 years,54500.0
1988,45 to 54 years,55000.0
1988,55 to 64 years,47300.0
1989,25 to 34 years,44200.0
1989,35 to 44 years,54800.0
1989,45 to 54 years,54400.0
1989,55 to 64 years,47600.0
1990,25 to 34 years,42800.0
1990,35 to 44 years,52300.0
1990,45 to 54 years,54500.0
1990,55 to 64 years,45800.0
1991,25 to 34 years,40900.0
1991,35 to 44 years,51000.0
1991,45 to 54 years,52500.0
1991,55 to 64 years,41600.0
1992,25 to 34 years,40900.0
1992,35 to 44 years,51700.0
1992,45 to 54 years,54000.0
1992,55 to 64 years,41200.0
1993,25 to 34 years,40400.0
1993,35 to 44 years,50700.0
1993,45 to 54 years,52600.0
1993,55 to 64 years,40400.0
1994,25 to 34 years,41300.0
1994,35 to 44 years,52600.0
1994,45 to 54 years,53900.0
1994,55 to 64 years,39400.0
1995,25 to 34 years,40400.0
1995,35 to 44 years,51400.0
1995,45 to 54 years,53500.0
1995,55 to 64 years,38900.0
1996,25 to 34 years,39800.0
1996,35 to 44 years,50700.0
1996,45 to 54 years,54000.0
1996,55 to 64 years,39100.0
1997,25 to 34 years,40900.0
1997,35 to 44 years,51100.0
1997,45 to 54 years,53400.0
1997,55 to 64 years,38300.0
1998,25 to 34 years,41600.0
1998,35 to 44 years,52600.0
1998,45 to 54 years,55200.0
1998,55 to 64 years,35200.0
1999,25 to 34 years,42900.0
1999,35 to 44 years,53000.0
1999,45 to 54 years,53900.0
1999,55 to 64 years,35500.0
2000,25 to 34 years,44200.0
2000,35 to 44 years,53000.0
2000,45 to 54 years,54900.0
2000,55 to 64 years,36000.0
2001,25 to 34 years,43600.0
2001,35 to 44 years,53300.0
2001,45 to 54 years,53700.0
2001,55 to 64 years,35500.0
2002,25 to 34 years,44800.0
2002,35 to 44 years,52700.0
2002,45 to 54 years,54200.0
2002,55 to 64 years,33800.0
2003,25 to 34 years,43600.0
2003,35 to 44 years,53000.0
2003,45 to 54 years,54800.0
2003,55 to 64 years,36500.0
2004,25 to 34 years,44700.0
2004,35 to 44 years,53300.0
2004,45 to 54 years,54200.0
2004,55 to 64 years,35200.0
2005,25 to 34 years,44600.0
2005,35 to 44 years,53400.0
2005,45 to 54 years,56000.0
2005,55 to 64 years,40100.0
2006,25 to 34 years,44200.0
2006,35 to 44 years,53100.0
2006,45 to 54 years,57300.0
2006,55 to 64 years,41700.0
2007,25 to 34 years,44200.0
2007,35 to 44 years,55400.0
2007,45 to 54 years,57700.0
2007,55 to 64 years,41400.0
2008,25 to 34 years,47700.0
2008,35 to 44 years,56400.0
2008,45 to 54 years,58500.0
2008,55 to 64 years,42500.0
2009,25 to 34 years,45200.0
2009,35 to 44 years,55700.0
2009,45 to 54 years,57300.0
2009,55 to 64 years,44000.0
2010,25 to 34 years,45200.0
2010,35 to 44 years,55800.0
2010,45 to 54 years,58300.0
2010,55 to 64 years,42700.0
2011,25 to 34 years,45700.0
2011,35 to 44 years,60100.0
2011,45 to 54 years,58100.0
2011,55 to 64 years,40300.0
2012,25 to 34 years,45200.0
2012,35 to 44 years,58000.0
2012,45 to 54 years,60200.0
2012,55 to 64 years,44100.0
2013,25 to 34 years,45600.0
2013,35 to 44 years,57600.0
2013,45 to 54 years,61800.0
2013,55 to 64 years,44900.0
2014,25 to 34 years,44400.0
2014,35 to 44 years,60000.0
2014,45 to 54 years,59700.0
2014,55 to 64 years,46100.0
2015,25 to 34 years,47300.0
2015,35 to 44 years,59800.0
2015,45 to 54 years,61300.0
2015,55 to 64 years,47000.0
2016,25 to 34 years,45700.0
2016,35 to 44 years,58100.0
2016,45 to 54 years,61300.0
2016,55 to 64 years,45500.0
2017,25 to 34 years,46200.0
2017,35 to 44 years,59000.0
2017,45 to 54 years,62200.0
2017,55 to 64 years,49600.0
2018,25 to 34 years,47100.0
2018,35 to 44 years,61000.0
2018,45 to 54 years,62300.0
2018,55 to 64 years,47900.0
2019,25 to 34 years,49200.0
