REF_DATE,City,Age group,Gender,VALUE
1976,Québec,15 to 24 years,Homme,20200.0
1976,Québec,15 to 24 years,Femme,21400.0
1976,Québec,25 to 34 years,Homme,72700.0
1976,Québec,25 to 34 years,Femme,46000.0
1976,Québec,35 to 44 years,Homme,80700.0
1976,Québec,35 to 44 years,Femme,27300.0
1976,Québec,45 to 54 years,Homme,80700.0
1976,Québec,45 to 54 years,Femme,
1976,Québec,55 to 64 years,Homme,
1976,Québec,55 to 64 years,Femme,
1976,Québec,65 years and over,Homme,
1976,Québec,65 years and over,Femme,15100.0
1976,Montréal,15 to 24 years,Homme,25000.0
1976,Montréal,15 to 24 years,Femme,21300.0
1976,Montréal,25 to 34 years,Homme,66900.0
1976,Montréal,25 to 34 years,Femme,37700.0
1976,Montréal,35 to 44 years,Homme,75400.0
1976,Montréal,35 to 44 years,Femme,30400.0
1976,Montréal,45 to 54 years,Homme,68600.0
1976,Montréal,45 to 54 years,Femme,27300.0
1976,Montréal,55 to 64 years,Homme,63300.0
1976,Montréal,55 to 64 years,Femme,27900.0
1976,Montréal,65 years and over,Homme,21100.0
1976,Montréal,65 years and over,Femme,14500.0
1976,Ottawa,15 to 24 years,Homme,17500.0
1976,Ottawa,15 to 24 years,Femme,22100.0
1976,Ottawa,25 to 34 years,Homme,72400.0
1976,Ottawa,25 to 34 years,Femme,46800.0
1976,Ottawa,35 to 44 years,Homme,101700.0
1976,Ottawa,35 to 44 years,Femme,42700.0
1976,Ottawa,45 to 54 years,Homme,99600.0
1976,Ottawa,45 to 54 years,Femme,31200.0
1976,Ottawa,55 to 64 years,Homme,83800.0
1976,Ottawa,55 to 64 years,Femme,20100.0
1976,Ottawa,65 years and over,Homme,37900.0
1976,Ottawa,65 years and over,Femme,19800.0
1976,Toronto,15 to 24 years,Homme,25900.0
1976,Toronto,15 to 24 years,Femme,15500.0
1976,Toronto,25 to 34 years,Homme,71900.0
1976,Toronto,25 to 34 years,Femme,38500.0
1976,Toronto,35 to 44 years,Homme,85500.0
1976,Toronto,35 to 44 years,Femme,33500.0
1976,Toronto,45 to 54 years,Homme,84700.0
1976,Toronto,45 to 54 years,Femme,31700.0
1976,Toronto,55 to 64 years,Homme,75200.0
1976,Toronto,55 to 64 years,Femme,27600.0
1976,Toronto,65 years and over,Homme,27200.0
1976,Toronto,65 years and over,Femme,15200.0
1976,Winnipeg,15 to 24 years,Homme,21500.0
1976,Winnipeg,15 to 24 years,Femme,18600.0
1976,Winnipeg,25 to 34 years,Homme,68800.0
1976,Winnipeg,25 to 34 years,Femme,29900.0
1976,Winnipeg,35 to 44 years,Homme,80700.0
1976,Winnipeg,35 to 44 years,Femme,25400.0
1976,Winnipeg,45 to 54 years,Homme,66200.0
1976,Winnipeg,45 to 54 years,Femme,30400.0
1976,Winnipeg,55 to 64 years,Homme,71100.0
1976,Winnipeg,55 to 64 years,Femme,16600.0
1976,Winnipeg,65 years and over,Homme,
1976,Winnipeg,65 years and over,Femme,13800.0
1976,Calgary,15 to 24 years,Homme,21100.0
1976,Calgary,15 to 24 years,Femme,18600.0
1976,Calgary,25 to 34 years,Homme,82800.0
1976,Calgary,25 to 34 years,Femme,34500.0
1976,Calgary,35 to 44 years,Homme,87000.0
1976,Calgary,35 to 44 years,Femme,35200.0
1976,Calgary,45 to 54 years,Homme,86300.0
1976,Calgary,45 to 54 years,Femme,
1976,Calgary,55 to 64 years,Homme,
1976,Calgary,55 to 64 years,Femme,
1976,Calgary,65 years and over,Homme,
1976,Calgary,65 years and over,Femme,
1976,Edmonton,15 to 24 years,Homme,34800.0
1976,Edmonton,15 to 24 years,Femme,21200.0
1976,Edmonton,25 to 34 years,Homme,75800.0
1976,Edmonton,25 to 34 years,Femme,40900.0
1976,Edmonton,35 to 44 years,Homme,97700.0
1976,Edmonton,35 to 44 years,Femme,32500.0
1976,Edmonton,45 to 54 years,Homme,93900.0
1976,Edmonton,45 to 54 years,Femme,39900.0
1976,Edmonton,55 to 64 years,Homme,76400.0
1976,Edmonton,55 to 64 years,Femme,
1976,Edmonton,65 years and over,Homme,
1976,Edmonton,65 years and over,Femme,14900.0
1976,Vancouver,15 to 24 years,Homme,27400.0
1976,Vancouver,15 to 24 years,Femme,20700.0
1976,Vancouver,25 to 34 years,Homme,67500.0
1976,Vancouver,25 to 34 years,Femme,37300.0
1976,Vancouver,35 to 44 years,Homme,101100.0
1976,Vancouver,35 to 44 years,Femme,27200.0
1976,Vancouver,45 to 54 years,Homme,86000.0
1976,Vancouver,45 to 54 years,Femme,39100.0
1976,Vancouver,55 to 64 years,Homme,83900.0
1976,Vancouver,55 to 64 years,Femme,28700.0
1976,Vancouver,65 years and over,Homme,25200.0
1976,Vancouver,65 years and over,Femme,16200.0
1977,Québec,15 to 24 years,Homme,19600.0
1977,Québec,15 to 24 years,Femme,21000.0
1977,Québec,25 to 34 years,Homme,64300.0
1977,Québec,25 to 34 years,Femme,40300.0
1977,Québec,35 to 44 years,Homme,81400.0
1977,Québec,35 to 44 years,Femme,25800.0
1977,Québec,45 to 54 years,Homme,74400.0
1977,Québec,45 to 54 years,Femme,21300.0
1977,Québec,55 to 64 years,Homme,63000.0
1977,Québec,55 to 64 years,Femme,24900.0
1977,Québec,65 years and over,Homme,26700.0
1977,Québec,65 years and over,Femme,13600.0
1977,Montréal,15 to 24 years,Homme,28100.0
1977,Montréal,15 to 24 years,Femme,26300.0
1977,Montréal,25 to 34 years,Homme,65200.0
1977,Montréal,25 to 34 years,Femme,36200.0
1977,Montréal,35 to 44 years,Homme,77000.0
1977,Montréal,35 to 44 years,Femme,35700.0
1977,Montréal,45 to 54 years,Homme,76800.0
1977,Montréal,45 to 54 years,Femme,32100.0
1977,Montréal,55 to 64 years,Homme,60700.0
1977,Montréal,55 to 64 years,Femme,23000.0
1977,Montréal,65 years and over,Homme,23500.0
1977,Montréal,65 years and over,Femme,14900.0
1977,Ottawa,15 to 24 years,Homme,23200.0
1977,Ottawa,15 to 24 years,Femme,22800.0
1977,Ottawa,25 to 34 years,Homme,73500.0
1977,Ottawa,25 to 34 years,Femme,43100.0
1977,Ottawa,35 to 44 years,Homme,100400.0
1977,Ottawa,35 to 44 years,Femme,39400.0
1977,Ottawa,45 to 54 years,Homme,99600.0
1977,Ottawa,45 to 54 years,Femme,38900.0
1977,Ottawa,55 to 64 years,Homme,85600.0
1977,Ottawa,55 to 64 years,Femme,17000.0
1977,Ottawa,65 years and over,Homme,31800.0
1977,Ottawa,65 years and over,Femme,16300.0
1977,Toronto,15 to 24 years,Homme,27700.0
1977,Toronto,15 to 24 years,Femme,21300.0
1977,Toronto,25 to 34 years,Homme,67500.0
1977,Toronto,25 to 34 years,Femme,41200.0
1977,Toronto,35 to 44 years,Homme,84900.0
1977,Toronto,35 to 44 years,Femme,34900.0
1977,Toronto,45 to 54 years,Homme,82200.0
1977,Toronto,45 to 54 years,Femme,36100.0
1977,Toronto,55 to 64 years,Homme,74500.0
1977,Toronto,55 to 64 years,Femme,30300.0
1977,Toronto,65 years and over,Homme,23200.0
1977,Toronto,65 years and over,Femme,17300.0
1977,Winnipeg,15 to 24 years,Homme,26300.0
1977,Winnipeg,15 to 24 years,Femme,19500.0
1977,Winnipeg,25 to 34 years,Homme,62900.0
1977,Winnipeg,25 to 34 years,Femme,33400.0
1977,Winnipeg,35 to 44 years,Homme,76300.0
1977,Winnipeg,35 to 44 years,Femme,31300.0
1977,Winnipeg,45 to 54 years,Homme,74700.0
1977,Winnipeg,45 to 54 years,Femme,28700.0
1977,Winnipeg,55 to 64 years,Homme,64200.0
1977,Winnipeg,55 to 64 years,Femme,24400.0
1977,Winnipeg,65 years and over,Homme,21600.0
1977,Winnipeg,65 years and over,Femme,14600.0
1977,Calgary,15 to 24 years,Homme,35400.0
1977,Calgary,15 to 24 years,Femme,24300.0
1977,Calgary,25 to 34 years,Homme,72400.0
1977,Calgary,25 to 34 years,Femme,37000.0
1977,Calgary,35 to 44 years,Homme,102500.0
1977,Calgary,35 to 44 years,Femme,26200.0
1977,Calgary,45 to 54 years,Homme,89500.0
1977,Calgary,45 to 54 years,Femme,33400.0
1977,Calgary,55 to 64 years,Homme,78800.0
1977,Calgary,55 to 64 years,Femme,29300.0
1977,Calgary,65 years and over,Homme,22400.0
1977,Calgary,65 years and over,Femme,17000.0
1977,Edmonton,15 to 24 years,Homme,32500.0
1977,Edmonton,15 to 24 years,Femme,22800.0
1977,Edmonton,25 to 34 years,Homme,75400.0
1977,Edmonton,25 to 34 years,Femme,36200.0
1977,Edmonton,35 to 44 years,Homme,86300.0
1977,Edmonton,35 to 44 years,Femme,36400.0
1977,Edmonton,45 to 54 years,Homme,86900.0
1977,Edmonton,45 to 54 years,Femme,31100.0
1977,Edmonton,55 to 64 years,Homme,76000.0
1977,Edmonton,55 to 64 years,Femme,23900.0
1977,Edmonton,65 years and over,Homme,23000.0
1977,Edmonton,65 years and over,Femme,16500.0
1977,Vancouver,15 to 24 years,Homme,25300.0
1977,Vancouver,15 to 24 years,Femme,21100.0
1977,Vancouver,25 to 34 years,Homme,74800.0
1977,Vancouver,25 to 34 years,Femme,40400.0
1977,Vancouver,35 to 44 years,Homme,86900.0
1977,Vancouver,35 to 44 years,Femme,35000.0
1977,Vancouver,45 to 54 years,Homme,82800.0
1977,Vancouver,45 to 54 years,Femme,36700.0
1977,Vancouver,55 to 64 years,Homme,82200.0
1977,Vancouver,55 to 64 years,Femme,23400.0
1977,Vancouver,65 years and over,Homme,21800.0
1977,Vancouver,65 years and over,Femme,15700.0
1978,Québec,15 to 24 years,Homme,20600.0
1978,Québec,15 to 24 years,Femme,16100.0
1978,Québec,25 to 34 years,Homme,66800.0
1978,Québec,25 to 34 years,Femme,39500.0
1978,Québec,35 to 44 years,Homme,81000.0
1978,Québec,35 to 44 years,Femme,33500.0
1978,Québec,45 to 54 years,Homme,84100.0
1978,Québec,45 to 54 years,Femme,18600.0
1978,Québec,55 to 64 years,Homme,65200.0
